state,temporal_unit,date,metric,futurerevision,buprenorphine,naloxone,naltrexone,buprenorphine_brand,buprenorphine_generic,naloxone_brand,naloxone_generic,naltrexone_brand,naltrexone_generic
AR,annual,2010-01-01,rx_gb,no,0.0,0.0,0.0,989.0,21.0,0.0,66.0,0.0,223.0
AR,annual,2010-01-01,rx_percap,no,3.347407913139736,0.2187415071952699,0.7390811530991694,0.0,0.0,0.0,0.0,0.0,0.0
AR,annual,2011-01-01,adjmedamt,no,190432.65625,58.95120239257813,8553.222290039062,0.0,0.0,0.0,0.0,0.0,0.0
AR,annual,2011-01-01,adjmedamt_gb,no,0.0,0.0,0.0,190432.65625,0.0,0.0,58.95120239257813,0.0,8553.222290039062
AR,annual,2011-01-01,adjmedamt_percap,no,612.1096119925911,0.1894874457647949,27.492708868005362,0.0,0.0,0.0,0.0,0.0,0.0
AR,annual,2011-01-01,rx,no,654.0,66.0,227.0,0.0,0.0,0.0,0.0,0.0,0.0
AR,annual,2011-01-01,rx_gb,no,0.0,0.0,0.0,621.0,33.0,0.0,66.0,0.0,227.0
AR,annual,2011-01-01,rx_percap,no,2.102158811026691,0.2121444671678312,0.7296483946529951,0.0,0.0,0.0,0.0,0.0,0.0
AR,annual,2012-01-01,adjmedamt,no,214449.3918457031,0.0,11683.02111816406,0.0,0.0,0.0,0.0,0.0,0.0
AR,annual,2012-01-01,adjmedamt_gb,no,0.0,0.0,0.0,213366.20703125,1083.184814453125,0.0,0.0,0.0,11683.02111816406
AR,annual,2012-01-01,adjmedamt_percap,no,638.5982419014563,0.0,34.79029099567318,0.0,0.0,0.0,0.0,0.0,0.0
AR,annual,2012-01-01,rx,no,744.0,17.0,302.0,0.0,0.0,0.0,0.0,0.0,0.0
AR,annual,2012-01-01,rx_gb,no,0.0,0.0,0.0,670.0,74.0,0.0,17.0,0.0,302.0
AR,annual,2012-01-01,rx_percap,no,2.215520817687986,0.0506234595439459,0.8993108695453921,0.0,0.0,0.0,0.0,0.0,0.0
AR,annual,2013-01-01,adjmedamt,no,238887.37451171878,0.0,7800.620269775391,0.0,0.0,0.0,0.0,0.0,0.0
AR,annual,2013-01-01,adjmedamt_gb,no,0.0,0.0,0.0,227551.8662109375,11335.50830078125,0.0,0.0,0.0,7800.620269775391
AR,annual,2013-01-01,adjmedamt_percap,no,704.6877824562482,0.0,23.01085107962297,0.0,0.0,0.0,0.0,0.0,0.0
AR,annual,2013-01-01,rx,no,1006.0,22.0,290.0,0.0,0.0,0.0,0.0,0.0,0.0
AR,annual,2013-01-01,rx_gb,no,0.0,0.0,0.0,832.0,174.0,0.0,22.0,0.0,290.0
AR,annual,2013-01-01,rx_percap,no,2.9675737807408034,0.0648972397378705,0.8554636147264743,0.0,0.0,0.0,0.0,0.0,0.0
AR,annual,2014-01-01,adjmedamt,no,562915.2971191406,0.0,5906.351654052734,0.0,0.0,0.0,0.0,0.0,0.0
AR,annual,2014-01-01,adjmedamt_gb,no,0.0,0.0,0.0,490334.3203125,72580.97680664062,0.0,0.0,0.0,5906.351654052734
AR,annual,2014-01-01,adjmedamt_percap,no,717.8971848031464,0.0,7.532488895934978,0.0,0.0,0.0,0.0,0.0,0.0
AR,annual,2014-01-01,rx,no,2039.0,24.0,248.0,0.0,0.0,0.0,0.0,0.0,0.0
AR,annual,2014-01-01,rx_gb,no,0.0,0.0,0.0,1684.0,355.0,0.0,24.0,0.0,248.0
AR,annual,2014-01-01,rx_percap,no,2.600377654160293,0.0306076820499495,0.3162793811828115,0.0,0.0,0.0,0.0,0.0,0.0
AR,annual,2015-01-01,adjmedamt,no,496936.55310058594,0.0,10237.22039794922,0.0,0.0,0.0,0.0,0.0,0.0
AR,annual,2015-01-01,adjmedamt_gb,no,0.0,0.0,0.0,429578.203125,67358.34997558594,0.0,0.0,0.0,10237.22039794922
AR,annual,2015-01-01,adjmedamt_percap,no,644.4103435237549,0.0,13.27527764301038,0.0,0.0,0.0,0.0,0.0,0.0
AR,annual,2015-01-01,rx,no,1801.0,29.0,351.0,0.0,0.0,0.0,0.0,0.0,0.0
AR,annual,2015-01-01,rx_gb,no,0.0,0.0,0.0,1435.0,366.0,0.0,29.0,0.0,351.0
AR,annual,2015-01-01,rx_percap,no,2.3354752662989684,0.0376062091741644,0.4551648075907485,0.0,0.0,0.0,0.0,0.0,0.0
AR,annual,2016-01-01,adjmedamt,no,590629.4252929689,0.0,9039.44793701172,0.0,0.0,0.0,0.0,0.0,0.0
AR,annual,2016-01-01,adjmedamt_gb,no,0.0,0.0,0.0,571376.9609375,19252.46435546875,0.0,0.0,0.0,9039.44793701172
AR,annual,2016-01-01,adjmedamt_percap,no,820.1905626619159,0.0,12.55282851160548,0.0,0.0,0.0,0.0,0.0,0.0
AR,annual,2016-01-01,rx,no,2054.0,40.0,394.0,0.0,0.0,0.0,0.0,0.0,0.0
AR,annual,2016-01-01,rx_gb,no,0.0,0.0,0.0,1723.0,331.0,2.0,38.0,0.0,394.0
AR,annual,2016-01-01,rx_percap,no,2.8523323484466268,0.0555468811771495,0.5471367795949226,0.0,0.0,0.0,0.0,0.0,0.0
AR,annual,2017-01-01,adjmedamt,no,654253.9499511719,0.0,13069.12274169922,0.0,0.0,0.0,0.0,0.0,0.0
AR,annual,2017-01-01,adjmedamt_gb,no,0.0,0.0,0.0,645929.015625,8324.934326171875,0.0,0.0,0.0,13069.12274169922
AR,annual,2017-01-01,adjmedamt_percap,no,915.2713074248837,0.0,18.28310407538855,0.0,0.0,0.0,0.0,0.0,0.0
